"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"LD5,LD2,LD7,LD3,LD4,LD6,LD1,LD8,LD9";"LED3MM";9;"Green";;;
2;"R16,R20,R17,R21,R19,R18,R23,R22,R15";"0207_9";9;"200K";;;
3;"D1,D2";"DO41-7";2;"SB130";;;
4;"R14,R65,R66,R3,R11,R4,R9,R12,R67,R68,R13,R59,R40,R58,R8,R10";"0207_9";16;"100K";;;
5;"R34,R33,R32,R38,R37,R35,R36,R60,R39";"0207_9";9;"15K";;;
6;"DAC-IN8,ADC-OUT7,ADC-OUT4,ADC-CLK0,DAC-IN1,ADC-OUT2,DAC-IN6,ADC-OUT6,ADC-OUT3,ADC-OUT1,ADC-OUT5,ADC-IN0,DAC-IN5,ADC-OUT8,DAC-IN7,DAC-IN4,DAC-OUT0,DAC-IN3,DAC-IN2";"ERTHENVAR";19;"ERTHENVAR_3.5MM_JACK";;;
7;"R45,R47,R31,R25,R49,R46,R27,R71,R28,R42,R41,R26,R29,R48,R43,R30,R62,R44,R61,R24";"0207_9";20;"1M";;;
8;"R2,R1";"0207_9";2;"10R";;;
9;"R84,R82,R72,R80,R76,R87,R75,R85,R77,R73,R81,R7,R86,R79,R78,R74,R83";"0207_9";17;"470R";;;
10;"D5,D12,D11,D4,D9,D7,D8,D10,D3,D6";"DO35-10";10;"BAT42";;;
11;"C25,C13,C1,C12,C21,C2,C10,C28,C7,C26,C6,C18,C11,C22";"C025-024X044";14;"100nF";;;
12;"IC5,IC4";"DIL14";2;"LM324";;;
13;"IC3,IC11,IC2";"DIL16";3;"4050N";;;
14;"U$6,U$7,U$10,U$8,U$9,U$5,U$2,U$3,U$4,U$1";"MA02-1";10;"MA02-1";;;
15;"C4,C3";"E2-5";2;"10uF";;;
16;"C8,C9,C20,C19";"C025-024X044";4;"47pF";;;
17;"LD12,LD14,LD15,LD17,LD16,LD13,LD10,LD11";"LED3MM";8;"Orange";;;
18;"C5";"E2,5-6";1;"100uF";;;
19;"R64,R63";"0207_9";2;"82K";;;
20;"R54,R51,R57,R56,R53,R50,R52,R55,R5";"0207_9";9;"1K";;;
21;"R69";"0207_9";1;"330K";;;
22;"C24,C23";"C025-024X044";2;"33pF";;;
23;"R6";"0207_9";1;"95,3K";;;
24;"POT1,POT2";"POT-ALPHA9";2;"100K";;;
25;"R70";"0207_9";1;"3.3M";;;
26;"SV8,SV7,SV9,SV4,SV5,SV3";"MA08-1";6;"";;;
27;"SV2,SV10,SV1,SV6";"MA05-1";4;"";;;
28;"T1";"TO92-LINE";1;"BC547";;;
29;"IC10";"DIL20";1;"ADC0820BCN";;;
30;"IC1";"DIL14";1;"TL084";;;
31;"IC9";"DIL08";1;"LM358N";;;
32;"Q1";"32K768";1;"32.768kHz";;;
33;"TRIM1";"B25P";1;"10K";;;
34;"RG1";"TO92-LINE";1;"";;;
35;"JP2,JP3";"JP10Q";2;"";;;
36;"POWER0";"CON10L";1;"";;;
37;"JP1";"MA03-1";1;"cal. mode";;;
