"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"@HOLE0,@HOLE1,@HOLE2,@HOLE3,@HOLE4,@HOLE5,@HOLE6,@HOLE7,@HOLE8,@HOLE9";"";10;"";;;
2;"POWER0";"CON10L";1;"";;;
3;"R1,R2,R21,R22,R25,R26,R27,R28";"0207_9";8;"10R";;;
4;"D1,D2";"DO41-7";2;"SB130";;;
5;"C1,C2,C6,C7,C8,C9,C10,C11,C14,C16,C18,C19,C20,C24";"C025-024X044";14;"100nF";;;
6;"C3,C4";"E2-5";2;"10uF";;;
7;"RG1";"TO92-LINE";1;"LM2931 5V";;;
8;"C5";"E2,5-6";1;"100uF";;;
9;"IC4,IC5";"DIL08";2;"DG419DJN";;;
10;"I/O_A0,O/I_A1,O/I_A2,T/G_AIN0,I/O_B0,O/I_B1,O/I_B2,T/G_BIN0";"ERTHENVAR";8;"ERTHENVAR_3.5MM_JACKHOLES";;;
11;"IC2,IC3";"DIL08";2;"ATtiny45-20PU";;;
12;"SW2,SW4";"SPDT-HORIZONTAL-TOP-SUBMINI-MULTICOMP";2;"SPDT on-on";;;
13;"SW1,SW3";"TACTILE_ALPS";2;"";;;
14;"R3,R12,R14,R23";"0207_9";4;"100K";;;
15;"D3,D5,D8,D10";"LED3MM";4;"orange";;;
16;"D4,D6,D9,D11";"LED3MM";4;"green";;;
17;"R4,R5,R6,R7,R15,R16,R17,R18";"0207_9";8;"470R";;;
18;"U$1,U$3,U$5,U$7";"MA02-1";4;"MA02-1";;;
19;"U$2,U$4,U$6,U$8,SV1,SV2";"MA04-1";6;"";;;
20;"JP1,JP2";"JP10Q";2;"";;;
21;"Q1,Q2";"TO92-";2;"2N7000";;;
22;"R8,R9";"0207_9";2;"2.2M";;;
23;"R10,R13,R19,R11,R20,R24";"0207_2V";6;"2.2M";;;
